StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.06,0.75,0.1,7.71,129.701686,0051.png,0.999596
0.06,0.75,0.15,8.23,121.506683,0052.png,0.999691
0.06,0.75,0.2,8.09,123.609394,0053.png,0.999714
0.06,0.75,0.25,8.04,124.378109,0054.png,0.999696
0.06,1.0,0.05,6.6,151.515152,0055.png,0.997207
0.06,1.0,0.1,6.6,151.515152,0056.png,0.998889
0.06,1.0,0.15,6.95,143.884892,0057.png,0.999509
0.06,1.0,0.2,7.11,140.646976,0058.png,0.99966
0.06,1.0,0.25,7.15,139.86014,0059.png,0.99968
0.06,1.25,0.05,4.68,213.675214,0060.png,0.994987
0.06,1.25,0.1,5.73,174.52007,0061.png,0.997516
0.06,1.25,0.15,5.91,169.204738,0062.png,0.998852
0.06,1.25,0.2,6.37,156.985871,0063.png,0.999431
0.06,1.25,0.25,6.39,156.494523,0064.png,0.999619
0.06,1.5,0.05,4.92,203.252033,0065.png,0.992552
0.06,1.5,0.1,4.92,203.252033,0066.png,0.995476
0.06,1.5,0.15,5.15,194.174757,0067.png,0.99743
0.06,1.5,0.2,5.63,177.619893,0068.png,0.998676
0.06,1.5,0.25,5.86,170.648464,0069.png,0.999269
0.06,1.75,0.05,4.68,213.675214,0070.png,0.990512
0.06,1.75,0.1,4.86,205.761317,0071.png,0.993618
0.06,1.75,0.15,4.87,205.338809,0072.png,0.995829
0.06,1.75,0.2,4.66,214.592275,0073.png,0.997355
0.06,1.75,0.25,4.79,208.768267,0074.png,0.998396
0.06,2.0,0.05,4.11,243.309002,0075.png,0.987393
0.06,2.0,0.1,4.28,233.64486,0076.png,0.990782
0.06,2.0,0.15,4.48,223.214286,0077.png,0.993449
0.06,2.0,0.2,4.97,201.207243,0078.png,0.995776
0.06,2.0,0.25,4.11,243.309002,0079.png,0.997356
0.11,0.25,0.05,19.99,50.025013,0080.png,0.999513
0.11,0.25,0.1,20.08,49.800797,0081.png,0.999535
0.11,0.25,0.15,20.08,49.800797,0082.png,0.999481
0.11,0.25,0.2,20.13,49.677099,0083.png,0.999518
0.11,0.25,0.25,20.21,49.480455,0084.png,0.999488
0.11,0.5,0.05,10.62,94.161959,0085.png,0.999394
0.11,0.5,0.1,10.78,92.764378,0086.png,0.999528
0.11,0.5,0.15,10.9,91.743119,0087.png,0.999489
0.11,0.5,0.2,10.92,91.575092,0088.png,0.9995
0.11,0.5,0.25,11.06,90.415913,0089.png,0.999556
0.11,0.75,0.05,7.7,129.87013,0090.png,0.99868
0.11,0.75,0.1,7.74,129.198966,0091.png,0.999441
0.11,0.75,0.15,7.78,128.534704,0092.png,0.999486
0.11,0.75,0.2,7.91,126.42225,0093.png,0.99948
0.11,0.75,0.25,8.1,123.45679,0094.png,0.999483
0.11,1.0,0.05,5.86,170.648464,0095.png,0.997102
0.11,1.0,0.1,6.11,163.666121,0096.png,0.998743
0.11,1.0,0.15,6.11,163.666121,0097.png,0.999334
0.11,1.0,0.2,6.65,150.37594,0098.png,0.999472
0.11,1.0,0.25,6.64,150.60241,0099.png,0.9995
0.11,1.25,0.05,5.43,184.162063,0100.png,0.994922
0.11,1.25,0.1,5.62,177.935943,0101.png,0.997399
0.11,1.25,0.15,5.45,183.486239,0102.png,0.998712
0.11,1.25,0.2,5.01,199.600798,0103.png,0.999254
0.11,1.25,0.25,5.88,170.068027,0104.png,0.999411
0.11,1.5,0.05,4.83,207.039337,0105.png,0.992492
0.11,1.5,0.1,4.19,238.663484,0106.png,0.995373
0.11,1.5,0.15,5.13,194.931774,0107.png,0.997301
0.11,1.5,0.2,5.49,182.149362,0108.png,0.998475
0.11,1.5,0.25,5.33,187.617261,0109.png,0.999067
0.11,1.75,0.05,4.12,242.718447,0110.png,0.990437
0.11,1.75,0.1,4.26,234.741784,0111.png,0.993487
0.11,1.75,0.15,4.33,230.946882,0112.png,0.995688
0.11,1.75,0.2,4.42,226.244344,0113.png,0.997197
0.11,1.75,0.25,4.45,224.719101,0114.png,0.998245
0.11,2.0,0.05,4.09,244.498778,0115.png,0.987356
0.11,2.0,0.1,3.35,298.507463,0116.png,0.990699
0.11,2.0,0.15,4.24,235.849057,0117.png,0.993325
0.11,2.0,0.2,3.59,278.551532,0118.png,0.995623
0.11,2.0,0.25,4.46,224.215247,0119.png,0.997188
0.16,0.25,0.05,19.92,50.200803,0120.png,0.999365
0.16,0.25,0.1,19.96,50.1002,0121.png,0.999315
0.16,0.25,0.15,20.02,49.95005,0122.png,0.999338
0.16,0.25,0.2,20.07,49.82561,0123.png,0.999319
0.16,0.25,0.25,20.12,49.701789,0124.png,0.999317
0.16,0.5,0.05,10.55,94.78673,0125.png,0.99928
0.16,0.5,0.1,10.64,93.984962,0126.png,0.999331
0.16,0.5,0.15,10.69,93.54537,0127.png,0.999341
0.16,0.5,0.2,10.75,93.023256,0128.png,0.999357
0.16,0.5,0.25,10.76,92.936803,0129.png,0.999311
0.16,0.75,0.05,7.45,134.228188,0130.png,0.998597
0.16,0.75,0.1,7.78,128.534704,0131.png,0.999328
0.16,0.75,0.15,7.81,128.040973,0132.png,0.999357
0.16,0.75,0.2,7.84,127.55102,0133.png,0.999352
0.16,0.75,0.25,7.84,127.55102,0134.png,0.999348
0.16,1.0,0.05,6.33,157.977883,0135.png,0.997049
0.16,1.0,0.1,6.34,157.728707,0136.png,0.998622
0.16,1.0,0.15,5.99,166.944908,0137.png,0.99919
0.16,1.0,0.2,6.44,155.279503,0138.png,0.999363
0.16,1.0,0.25,6.58,151.975684,0139.png,0.999312
0.16,1.25,0.05,5.38,185.873606,0140.png,0.994884
0.16,1.25,0.1,5.21,191.93858,0141.png,0.997319
0.16,1.25,0.15,5.65,176.99115,0142.png,0.998622
0.16,1.25,0.2,5.69,175.746924,0143.png,0.999175
0.16,1.25,0.25,5.8,172.413793,0144.png,0.999262
0.16,1.5,0.05,4.88,204.918033,0145.png,0.99245
0.16,1.5,0.1,4.85,206.185567,0146.png,0.995279
0.16,1.5,0.15,5.1,196.078431,0147.png,0.997213
0.16,1.5,0.2,5.25,190.47619,0148.png,0.998408
0.16,1.5,0.25,5.42,184.501845,0149.png,0.998911
0.16,1.75,0.05,4.28,233.64486,0150.png,0.990412
0.16,1.75,0.1,4.36,229.357798,0151.png,0.993418
0.16,1.75,0.15,4.62,216.450216,0152.png,0.995592
0.16,1.75,0.2,4.59,217.864924,0153.png,0.997064
0.16,1.75,0.25,3.88,257.731959,0154.png,0.998088
0.16,2.0,0.05,3.8,263.157895,0155.png,0.987314
0.16,2.0,0.1,4.16,240.384615,0156.png,0.990636
0.16,2.0,0.15,4.32,231.481481,0157.png,0.993266
0.16,2.0,0.2,4.61,216.91974,0158.png,0.995577
0.16,2.0,0.25,4.47,223.713647,0159.png,0.997085
0.21,0.25,0.05,19.76,50.607287,0160.png,0.99908
0.21,0.25,0.1,20.02,49.95005,0161.png,0.999167
0.21,0.25,0.15,19.92,50.200803,0162.png,0.999163
0.21,0.25,0.2,19.96,50.1002,0163.png,0.999185
0.21,0.25,0.25,20.04,49.9002,0164.png,0.999135
0.21,0.5,0.05,10.58,94.517958,0165.png,0.99908
0.21,0.5,0.1,10.7,93.457944,0166.png,0.999112
0.21,0.5,0.15,10.58,94.517958,0167.png,0.999131
0.21,0.5,0.2,10.61,94.250707,0168.png,0.999206
0.21,0.5,0.25,10.74,93.10987,0169.png,0.999104
0.21,0.75,0.05,7.34,136.239782,0170.png,0.998462
0.21,0.75,0.1,7.33,136.425648,0171.png,0.999067
0.21,0.75,0.15,7.88,126.903553,0172.png,0.999081
0.21,0.75,0.2,7.72,129.533679,0173.png,0.999163
0.21,0.75,0.25,7.73,129.366106,0174.png,0.999113
0.21,1.0,0.05,6.39,156.494523,0175.png,0.996928
0.21,1.0,0.1,5.55,180.18018,0176.png,0.998451
0.21,1.0,0.15,6.13,163.132137,0177.png,0.999029
0.21,1.0,0.2,6.37,156.985871,0178.png,0.999183
0.21,1.0,0.25,6.38,156.739812,0179.png,0.99915
0.21,1.25,0.05,5.26,190.114068,0180.png,0.994794
0.21,1.25,0.1,5.66,176.678445,0181.png,0.997164
0.21,1.25,0.15,5.25,190.47619,0182.png,0.99844
0.21,1.25,0.2,5.52,181.15942,0183.png,0.998936
0.21,1.25,0.25,4.77,209.643606,0184.png,0.999072
0.21,1.5,0.05,5.05,198.019802,0185.png,0.992386
0.21,1.5,0.1,4.9,204.081633,0186.png,0.995129
0.21,1.5,0.15,5.1,196.078431,0187.png,0.996989
0.21,1.5,0.2,4.92,203.252033,0188.png,0.998215
0.21,1.5,0.25,5.18,193.050193,0189.png,0.998727
0.21,1.75,0.05,3.62,276.243094,0190.png,0.990348
0.21,1.75,0.1,4.51,221.72949,0191.png,0.993326
0.21,1.75,0.15,4.47,223.713647,0192.png,0.995457
0.21,1.75,0.2,4.33,230.946882,0193.png,0.996929
0.21,1.75,0.25,4.37,228.832952,0194.png,0.997923
0.21,2.0,0.05,4.05,246.91358,0195.png,0.987246
0.21,2.0,0.1,4.13,242.130751,0196.png,0.990521
0.21,2.0,0.15,4.28,233.64486,0197.png,0.993142
0.21,2.0,0.2,4.09,244.498778,0198.png,0.995423
0.21,2.0,0.25,4.37,228.832952,0199.png,0.99693
